,pt,surface,Cx,Cy,Sx,Sy,Axy,Rx,Ry
0,20,rear,0.1600002364274244,2.7183727966671754,21.57879156344686,4.8705076269269005,0.0010909130620602107,0.0,0.0
1,20,front,-0.20617572888702737,0.27035100623554564,23.20947349379303,5.0910932725770355,-0.0012470353319548534,0.0,0.0
2,18,rear,-0.00782603954813674,2.757194909665615,21.639165078340742,4.871189192500765,0.0010828816293911496,0.0,0.0
3,18,front,0.059696017878968964,0.2511699204481715,23.413604828119784,5.065265790094683,-0.0012558923331061986,0.0,0.0
4,27,rear,0.0445479668351486,2.809826390910843,22.088697167557722,4.984878002706508,0.0007658149541797293,0.0,0.0
5,27,front,-0.0317480241459072,0.238869244564467,24.249267467324024,5.227201569749834,-0.000894301023233243,0.0,0.0
6,9,rear,0.19269028897448934,2.7008534868075924,20.642014979069728,4.61297515467051,0.001679506580539523,0.0,0.0
7,9,front,-0.21509406865618627,0.29890461408619917,23.228153948256864,4.944662874194866,-0.0019855397821864056,0.0,0.0
8,11,rear,0.06501667894114117,2.778981951694469,21.76391528796807,4.624985275682375,0.0012837637553578952,0.0,0.0
9,11,front,-0.1072586587603338,0.2820989751300314,25.216936065305834,5.0554336897374395,-0.0016245232672941986,0.0,0.0
10,7,rear,0.03934536432008365,2.809290263875555,20.405746182009008,4.507459239566491,0.001618623708589515,0.0,0.0
11,7,front,-0.01951681983384988,0.2347934711592733,23.994302192145152,4.978586172346506,-0.0020612994977161196,0.0,0.0
12,29,rear,0.22815431803320277,2.7038906753228518,22.0304869584048,5.03991160689239,0.0007851977311990057,0.0,0.0
13,29,front,-0.24007757350264783,0.3062478269634252,23.584637903819583,5.219202979341494,-0.0008714561260962378,0.0,0.0
14,16,rear,0.06583168682563899,2.7789799498083108,22.26130697952458,4.755255433954051,0.0010593144532646764,0.0,0.0
15,16,front,-0.11024448174499785,0.28430319828011696,25.28926095175861,5.11423328971845,-0.0013022626639302747,0.0,0.0
16,6,rear,0.06298840028394102,2.7791176840899787,21.090341591188665,4.44727314240444,0.001603734148194145,0.0,0.0
17,6,front,-0.10359024177218373,0.2791328824201854,25.14991232795581,4.98534393188211,-0.002117511415631563,0.0,0.0
18,28,rear,-0.024208047381302247,2.757460152488248,22.231371740596714,5.0531746637885915,0.0007784700071768277,0.0,0.0
19,28,front,0.07534918020614927,0.2523155825325712,23.5875338425987,5.183061124982663,-0.0008799691742270088,0.0,0.0
20,17,rear,0.04049488697635808,2.80965724703887,21.424950168907966,4.792470223321492,0.001063082657770298,0.0,0.0
21,17,front,-0.02819997793637555,0.23745712328745086,24.098732516526844,5.114347565582848,-0.0012794908010829093,0.0,0.0
22,1,rear,0.0593711691974784,2.780920759461195,20.036992056081353,4.157279814323992,0.002104083365712308,0.0,0.0
23,1,front,-0.09462566221942194,0.2742962819525278,25.07652264216403,4.886029220338552,-0.002978445058967753,0.0,0.0
24,10,rear,0.1584292265377594,2.7147020929926797,20.807288812447386,4.624669329773208,0.0016799777523618835,0.0,0.0
25,10,front,-0.19696998698139817,0.26740255195719753,22.978744604564223,4.935179275472301,-0.0019901399715365475,0.0,0.0
26,19,rear,0.21600999261493978,2.7031043397527617,21.474901357688335,4.865505865830003,0.0010933680097386883,0.0,0.0
27,19,front,-0.22811060744859413,0.30370476863713297,23.40382216595796,5.097384434813484,-0.0012406903207828322,0.0,0.0
28,26,rear,0.06847853732153301,2.7796895299148043,23.009804242103314,4.956646469493368,0.0007651494162630562,0.0,0.0
29,26,front,-0.11196617908934275,0.28692438069508985,25.4646734699654,5.222252512124692,-0.0009055163426350737,0.0,0.0
30,8,rear,0.017981498213142436,2.7561936965878737,20.740009351219772,4.607422787647039,0.0016556641597296846,0.0,0.0
31,8,front,0.04069061481764733,0.24841961750406016,23.267973084570304,4.9223044366686395,-0.0020137436343912415,0.0,0.0
32,21,rear,0.06638213062460357,2.779242042067012,22.66452492702834,4.862483053015311,0.0008931681608349816,0.0,0.0
33,21,front,-0.11246404613541551,0.2859092390803773,25.372150052555604,5.169006303473866,-0.0010747962904501273,0.0,0.0
34,30,rear,0.163257114784133,2.719844936411085,22.097452088426873,5.042222616569787,0.0007825361903924102,0.0,0.0
35,30,front,-0.21186865823735304,0.27236794070674103,23.41709935657626,5.21431281048671,-0.0008773491472709287,0.0,0.0
36,24,rear,0.22246948551461682,2.7036418803081395,21.773563674758236,4.958090660498483,0.0009183749637439401,0.0,0.0
37,24,front,-0.23469808319798044,0.3051199953585398,23.49415230535516,5.160388510777553,-0.0010292584778151198,0.0,0.0
38,23,rear,-0.01554592455114261,2.7573751593106723,21.95923684951652,4.968610685374273,0.000909681965413101,0.0,0.0
39,23,front,0.06875506497838735,0.2516620598782588,23.501607125807038,5.1266704770030955,-0.0010400816162468914,0.0,0.0
40,4,rear,0.17700792297446036,2.7005696282262788,19.940922045836647,4.393221624034939,0.0022306731046739118,0.0,0.0
41,4,front,-0.2000926786338594,0.2936586598091372,23.138681916066737,4.830859528837465,-0.0027462712024333507,0.0,0.0
42,15,rear,0.15897131340913184,2.717076974443261,21.240412291923583,4.762437548701686,0.001332227988080666,0.0,0.0
43,15,front,-0.20243989623132125,0.26943182267359156,23.095555901504525,5.019009975731155,-0.0015447705297517045,0.0,0.0
44,3,rear,0.04008393791664711,2.7562092980389483,19.967500211693764,4.372641030651949,0.002192220501195203,0.0,0.0
45,3,front,0.03241594904433804,0.24569234555205272,23.208474127182907,4.815187161340346,-0.002793080853500303,0.0,0.0
46,12,rear,0.038721117756027,2.809494506277577,20.988462879903057,4.670455122278486,0.0012914067063812087,0.0,0.0
47,12,front,-0.025320209308769173,0.23646372148802003,24.038058374963544,5.0519907402606075,-0.0015900244503179223,0.0,0.0
48,2,rear,0.035897180003593106,2.8094615007045842,19.521340913809535,4.248118876083087,0.0021340465476272458,0.0,0.0
49,2,front,-0.016768779168510255,0.23244742485788628,23.968053591474405,4.875706336049505,-0.002871450745466318,0.0,0.0
50,13,rear,0.0030078289344368605,2.7567112793946573,21.251982075928453,4.75729319063234,0.0013176490581874828,0.0,0.0
51,13,front,0.049917573843251684,0.2501472855852945,23.334731584459316,4.999584256478943,-0.0015577705582712953,0.0,0.0
52,5,rear,0.15918916245354892,2.71193032917259,20.16294511110572,4.412613217439858,0.0022366250292485718,0.0,0.0
53,5,front,-0.18715209009209435,0.2640269175628205,22.842328892936624,4.818481219030647,-0.0027456679699910725,0.0,0.0
54,14,rear,0.20407183205579277,2.7019361478798785,21.113290289925246,4.7550833910480215,0.0013337964062525877,0.0,0.0
55,14,front,-0.2229911092876694,0.3019404662178262,23.312883510201157,5.026468473978079,-0.0015383004095026965,0.0,0.0
56,22,rear,0.043232378687752246,2.80994957798896,21.783681415897252,4.895439980597181,0.0008940944518728786,0.0,0.0
57,22,front,-0.029122296483017184,0.23803937392257415,24.173807134333853,5.172978287297829,-0.0010582186723135892,0.0,0.0
58,25,rear,0.16052778996622077,2.71929380514955,21.85760384830234,4.961532139836407,0.000915738593606783,0.0,0.0
59,25,front,-0.21030510324414128,0.2715386950427878,23.315269711733535,5.154951569370559,-0.0010354932494252068,0.0,0.0
